w,vector_uso
throat,"[6, 0]",The Ship Who Sang
All,"[13, 352, 28, 24, 2, 2, 6]",The Ship Who Sang
wanderings,"[21, 0, 0, 0, 0, 1, 0, 0, 3, 0, 0, 0, 3, 0, 0, 0, 7, 12, 4, 0, 0, 2, 0, 1, 0]",The Ship Who Sang
they,[],The Ship Who Sang
issued,"[0, 3, 20, 1, 7, 0, 0, 0, 0, 0, 0, 0, 0, 16]",The Ship Who Sang
intelligence,"[0, 1, 0, 0, 0, 0, 11, 37, 2]",The Ship Who Sang
Tanner,"[0, 0, 1]",The Ship Who Sang
classmates,"[0, 0, 1, 0]",The Ship Who Sang
run,"[7, 21, 0, 0, 3, 9, 10, 0, 0, 0, 0, 6, 0, 18, 0, 0, 0, 0, 74, 5, 30, 0, 0, 3, 2, 0, 0, 127, 0, 0, 1, 0, 0, 6, 0, 19, 0, 2, 0, 9, 23, 0, 1, 0, 12, 1, 43, 0, 1, 1, 2, 11, 2, 20, 0, 0, 0, 0, 0, 90, 2, 0, 2, 0, 0, 0, 7, 2, 9]",The Ship Who Sang
annals,"[1, 0]",The Ship Who Sang
nondefeatist,[],The Ship Who Sang
biting,"[1, 0, 1, 1, 0, 0, 6, 2, 2, 3, 0]",The Ship Who Sang
thing,"[0, 53, 29]",The Ship Who Sang
scooted,"[5, 0, 0, 3, 2, 0]",The Ship Who Sang
must,"[0, 0, 115]",The Ship Who Sang
high,"[0, 0, 0, 2, 0, 0, 1, 0, 0, 61, 0, 0, 0, 2, 2, 0]",The Ship Who Sang
really,"[81, 0, 40, 0, 8, 1, 33, 11]",The Ship Who Sang
ship,"[0, 0, 10, 17]",The Ship Who Sang
kicked,"[3, 0, 0, 0, 0, 0, 0, 7, 2]",The Ship Who Sang
final,"[2, 0, 0, 2, 21, 83, 0]",The Ship Who Sang
effect,"[6, 14, 0, 5, 6, 0, 0, 27, 0, 3, 2, 8, 27, 16, 3]",The Ship Who Sang
stages,"[0, 0, 11, 4, 0, 0, 7, 0, 7, 37, 14, 6, 0, 22, 1, 0, 0, 10, 2, 0, 36, 0, 0, 0]",The Ship Who Sang
given,"[0, 13, 1, 113, 0, 0, 492, 0, 1, 6, 4, 3, 0, 1, 2, 32, 0, 0, 2, 0, 6, 6, 1, 0, 0, 13, 19, 1, 12, 0, 11, 0, 0, 6, 1, 50, 3, 10, 3, 7, 38, 2, 51, 36, 0, 17, 41, 0, 2]",The Ship Who Sang
running,"[7, 21, 0, 0, 9, 0, 17, 0, 0, 6, 4, 0, 0, 0, 0, 74, 5, 30, 0, 3, 0, 2, 0, 127, 0, 1, 0, 2, 6, 0, 19, 0, 2, 0, 15, 9, 23, 1, 1, 12, 0, 43, 0, 1, 1, 2, 20, 11, 0, 0, 0, 0, 90, 0, 2, 2, 0, 0, 7, 9]",The Ship Who Sang
on,"[839, 37]",The Ship Who Sang
although,[],The Ship Who Sang
sustain,"[123, 2, 0, 0, 0, 492, 0, 35, 2, 5, 13, 0, 0, 3, 0, 0, 17]",The Ship Who Sang
resembled,[0],The Ship Who Sang
recordings,"[12, 5, 0, 21, 0, 2, 1, 0, 1, 0, 0, 44, 0, 19]",The Ship Who Sang
oppressive,"[0, 1, 0]",The Ship Who Sang
Soon,"[0, 20, 2, 3]",The Ship Who Sang
the,[],The Ship Who Sang
accompany,"[0, 0, 0, 2, 2, 0, 0, 11, 15]",The Ship Who Sang
cause,"[0, 113, 10, 16, 18, 0, 492, 163, 123, 35, 0, 11, 0, 1, 0, 30, 11, 7, 5, 0]",The Ship Who Sang
correct,"[4, 2, 2, 0, 8, 0, 0, 46, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 84, 0]",The Ship Who Sang
Lord,"[0, 0, 0, 3, 0, 0, 0, 0, 9, 3, 5, 0, 6]",The Ship Who Sang
so,"[0, 0, 22, 17, 0, 0, 12, 0, 177, 0, 3, 228]",The Ship Who Sang
Helva,[],The Ship Who Sang
tenor,"[1, 0, 1]",The Ship Who Sang
incredibly,"[1, 0, 0, 0, 1, 0]",The Ship Who Sang
morsel,"[24, 1, 1]",The Ship Who Sang
maintenance,"[0, 1, 0, 0, 2, 0, 0, 21]",The Ship Who Sang
Power-Seek,[],The Ship Who Sang
mastery,"[0, 0, 38, 2, 2, 4]",The Ship Who Sang
wrangled,"[0, 1]",The Ship Who Sang
from,[],The Ship Who Sang
song,"[1, 0, 2, 0, 0, 3, 0, 0, 25, 0]",The Ship Who Sang
possible,"[6, 41]",The Ship Who Sang
there,"[276, 0, 0, 0, 0, 0]",The Ship Who Sang
these,[],The Ship Who Sang
You,[],The Ship Who Sang
Brain,"[0, 0, 0, 1, 0, 0, 0, 0, 2, 50, 1, 73, 0, 0, 14]",The Ship Who Sang
before,"[123, 0, 17, 14]",The Ship Who Sang
recall,"[0, 13, 15, 0, 0, 0, 0, 1, 65, 2, 0, 5, 1, 0, 0, 0]",The Ship Who Sang
Central,"[0, 0, 5, 6, 0, 14, 6]",The Ship Who Sang
manipulated,"[4, 1, 0, 0, 0, 38, 0, 0, 0, 1, 0, 0]",The Ship Who Sang
flights,"[7, 0, 0, 0, 1, 13, 5]",The Ship Who Sang
panel,"[0, 0, 0, 0, 0, 0, 0, 0, 17, 2, 15]",The Ship Who Sang
precepts,"[0, 1, 3, 14]",The Ship Who Sang
Last,"[0, 26, 0, 0, 0, 2, 0, 18, 2, 0, 83, 69, 2, 7, 0, 0, 0, 0, 0, 0, 51, 0, 27, 0, 3, 90, 5, 0, 21]",The Ship Who Sang
ships,"[0, 0, 10, 17]",The Ship Who Sang
unique,"[11, 0, 17, 2, 0, 0]",The Ship Who Sang
patient,"[12, 0, 0]",The Ship Who Sang
well,"[0, 2, 0, 1, 0, 82, 20, 4, 1, 5, 134]",The Ship Who Sang
meditation,"[1, 1]",The Ship Who Sang
compared,"[0, 1, 0]",The Ship Who Sang
controlled,"[1, 0, 3, 2, 102, 5, 9, 3, 0, 0, 0, 5, 6, 1, 4, 0, 38, 0, 17, 0]",The Ship Who Sang
substituting,"[0, 5, 0, 0, 1, 0, 3, 0, 4, 0, 0, 0]",The Ship Who Sang
score,"[0, 0, 113, 0, 0, 9, 21, 0, 10, 0, 2, 2, 0, 13, 12]",The Ship Who Sang
which,[],The Ship Who Sang
terrestrial,"[0, 0, 0, 0, 0, 0, 0, 1]",The Ship Who Sang
properly,"[3, 4, 1, 0, 84, 0, 0]",The Ship Who Sang
turned,"[4, 0, 0, 12, 102, 0, 0, 0, 0, 127, 0, 0, 0, 7, 0, 0, 33, 54, 0, 3, 37, 1, 0, 4, 0]",The Ship Who Sang
nutrient,"[1, 13, 0, 0, 0, 0, 0]",The Ship Who Sang
vocal,"[0, 3, 2, 0]",The Ship Who Sang
a,"[0, 147, 2793, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",The Ship Who Sang
do-good,[],The Ship Who Sang
citizens,[3],The Ship Who Sang
included,"[9, 0, 9, 10]",The Ship Who Sang
codes,"[0, 0, 0, 2, 0, 0, 0, 0, 9, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 1, 0, 1, 0, 1]",The Ship Who Sang
aspect,"[1, 17, 12, 0, 59, 8, 0, 62, 3, 14, 0]",The Ship Who Sang
had,"[2, 49, 0, 113, 0, 3, 0, 18, 6, 111, 492, 1, 0, 0, 123, 6, 6, 1, 51, 0, 4, 4, 80, 2, 51, 17, 7]",The Ship Who Sang
doing,"[113, 0, 0, 18, 25, 3, 0, 0, 0, 0, 163, 46, 5, 6, 6, 0, 3, 1, 9, 0, 22, 1, 84, 0]",The Ship Who Sang
prognosis,"[0, 1, 3, 1]",The Ship Who Sang
already,[27],The Ship Who Sang
visitors,"[0, 0]",The Ship Who Sang
Oklahoma,"[1, 4, 0]",The Ship Who Sang
shell-psychology,[],The Ship Who Sang
extensions,"[0, 5, 0, 0, 1, 0, 3, 0, 0, 0, 0, 3, 0, 0, 0, 0]",The Ship Who Sang
themselves,[],The Ship Who Sang
woman,"[0, 48, 0, 0, 0, 0, 0, 0]",The Ship Who Sang
demanded,"[5, 2, 0, 80, 0, 6, 22, 14, 0, 54]",The Ship Who Sang
Asked,"[5, 15, 0, 80, 1, 0, 0, 6, 22, 14, 0, 54]",The Ship Who Sang
trusting,"[1, 22, 0, 7, 31, 1, 1, 1, 0, 0, 7, 0, 16]",The Ship Who Sang
even,"[103, 0, 0, 1, 1, 115, 14, 10, 8, 47, 0, 14]",The Ship Who Sang
peculiarities,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 2, 0]",The Ship Who Sang
navigation,"[0, 1, 1, 2, 0]",The Ship Who Sang
cords,"[0, 0, 0, 0, 2]",The Ship Who Sang
eliminated,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 3, 0, 0]",The Ship Who Sang
blushed,"[4, 0, 0, 1]",The Ship Who Sang
fertile,"[6, 0, 0, 13, 1, 1]",The Ship Who Sang
shell,"[0, 0, 2, 35, 0, 23, 0, 0, 0, 0, 0, 1, 3, 0, 0, 6, 7]",The Ship Who Sang
discussions,"[8, 4, 2, 0, 37]",The Ship Who Sang
shrugged,[0],The Ship Who Sang
classical,"[0, 3, 0, 1, 0, 0, 0, 0, 0]",The Ship Who Sang
alto,"[0, 0, 1]",The Ship Who Sang
side-effects,[],The Ship Who Sang
tread,"[5, 3, 12, 1, 0]",The Ship Who Sang
surface,"[0, 0, 0, 0, 0, 0, 18, 0, 4, 10, 0, 0, 0, 38]",The Ship Who Sang
lost,"[3, 6, 0, 0, 3, 0, 1, 32, 2, 0, 0, 0, 0, 0, 9, 2, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0]",The Ship Who Sang
no,"[50, 0, 0, 266, 0]",The Ship Who Sang
question,"[0, 3, 0, 6, 0, 0, 11, 0, 2, 0, 33, 0, 73, 14, 0, 0, 0]",The Ship Who Sang
programed,"[0, 27]",The Ship Who Sang
great,"[30, 53, 0, 3, 0, 0, 0, 5, 61, 2, 0, 2, 0, 3, 0, 1, 0, 0, 0, 0, 0, 18, 0, 0, 4]",The Ship Who Sang
Geraldine,[],The Ship Who Sang
crooned,[0],The Ship Who Sang
quick,"[13, 1, 0, 0, 1, 11, 2, 19, 21, 1, 11, 0, 9, 5]",The Ship Who Sang
strictly,"[0, 4, 0, 9]",The Ship Who Sang
assigned,"[51, 0, 2, 0, 1, 4, 0, 0, 0, 0, 0, 1, 0, 0]",The Ship Who Sang
don't,[],The Ship Who Sang
city's,[],The Ship Who Sang
intra-stellar,[],The Ship Who Sang
minds,"[0, 0, 1, 0, 31, 0, 0, 5, 0, 73, 50, 0, 4, 14, 0, 0]",The Ship Who Sang
program,"[2, 0, 2, 0, 15, 0, 0, 27, 0, 0, 0, 0]",The Ship Who Sang
repertoire,"[1, 1]",The Ship Who Sang
angel,"[5, 0, 0, 0, 4, 0, 4]",The Ship Who Sang
qualified,"[0, 0, 2, 0, 17, 0, 1, 0, 7, 0, 0, 2, 0, 0, 6]",The Ship Who Sang
shoulders,"[0, 0, 0, 5]",The Ship Who Sang
fancy,"[0, 0, 13, 1, 0, 0, 6, 10, 22, 102, 1, 20, 5, 0, 0, 4]",The Ship Who Sang
slim,"[1, 5, 3, 0, 0, 0, 0, 3, 14, 0]",The Ship Who Sang
outside,"[2, 1, 29, 0, 8, 0, 40, 5, 4, 0, 0, 0]",The Ship Who Sang
surveyed,"[0, 0, 2, 11, 1, 1]",The Ship Who Sang
exploring,"[7, 0, 7]",The Ship Who Sang
enjoyed,"[0, 49, 0, 0, 1, 0, 5, 4]",The Ship Who Sang
lady's,[],The Ship Who Sang
pressures,"[0, 14, 0, 1, 1, 0, 5, 0, 0, 0, 2, 0, 10, 0, 0, 8, 0]",The Ship Who Sang
bulwark,"[0, 1, 0, 0, 0, 0, 1, 0, 14]",The Ship Who Sang
eat,"[1, 0, 6, 8, 0, 0, 0, 0, 1, 0, 0, 0]",The Ship Who Sang
sonic,"[0, 1]",The Ship Who Sang
mouth,"[1, 0, 0, 0, 26, 0, 14, 14, 0, 0, 0, 0, 0, 2, 0]",The Ship Who Sang
just,"[11, 5, 0, 25, 11, 211, 7, 1, 13, 115, 4, 409, 1, 15, 4, 134]",The Ship Who Sang
until,[],The Ship Who Sang
unusually,"[1, 3, 0, 0]",The Ship Who Sang
magnification,"[0, 0, 2, 1, 1]",The Ship Who Sang
Her,[],The Ship Who Sang
directed,"[4, 72, 0, 0, 3, 1, 0, 0, 5, 0, 0, 0, 0, 73, 4, 16, 0, 37, 7, 0, 80, 20, 0, 6, 10, 2, 4]",The Ship Who Sang
essential,"[0, 0, 1, 0, 3, 4, 18, 13, 4, 0, 1]",The Ship Who Sang
barrier,"[1, 3]",The Ship Who Sang
taps,"[0, 0, 1, 0, 0, 0, 1, 1, 6, 0, 0, 2, 1, 3, 0, 0, 0, 1, 0, 1, 0]",The Ship Who Sang
singing,"[0, 0, 0, 1, 0, 0, 0, 4, 0, 0, 8, 0, 0, 0, 0, 0, 26, 0, 2]",The Ship Who Sang
several,"[4, 41, 16]",The Ship Who Sang
eventually,"[18, 7]",The Ship Who Sang
he,"[486, 2, 0, 1039]",The Ship Who Sang
arranged,"[51, 6, 34, 8, 0, 0, 0, 0, 0, 0, 11, 46, 163, 0, 5, 2]",The Ship Who Sang
humor,"[10, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 3]",The Ship Who Sang
Did,"[113, 0, 0, 18, 25, 3, 0, 0, 0, 0, 163, 46, 5, 6, 6, 0, 3, 1, 9, 0, 22, 1, 84, 0]",The Ship Who Sang
make,"[0, 0, 0, 113, 0, 9, 0, 0, 0, 26, 0, 18, 21, 0, 0, 0, 1, 1, 0, 4, 1, 0, 492, 0, 9, 0, 21, 0, 0, 163, 0, 0, 0, 0, 127, 123, 39, 6, 0, 0, 2, 1, 31, 1, 9, 0, 4, 11, 0, 1, 0, 0, 0, 80, 0, 16, 5, 3, 8, 0, 51, 0, 0, 17, 0, 0, 0, 0, 0, 0]",The Ship Who Sang
easily,"[20, 16, 82]",The Ship Who Sang
artificially,"[2, 0, 0]",The Ship Who Sang
chromatics,[],The Ship Who Sang
synapses,[0],The Ship Who Sang
see,"[0, 49, 0, 0, 59, 0, 22, 102, 0, 15, 19, 0, 0, 5, 0, 0, 17, 12, 13, 0, 0, 2, 0, 55, 4, 3, 0, 8, 0, 0, 7, 0, 0, 0, 17, 4, 1, 6, 1, 20, 11, 10, 4, 3, 7, 0, 1, 6, 8, 38, 4, 2, 0, 0, 0]",The Ship Who Sang
microphone,"[0, 1]",The Ship Who Sang
showed,"[1, 0, 0, 15, 1, 1, 0, 1, 7, 0, 0, 7, 19, 8, 37, 0, 1, 3, 44, 20, 6, 21, 3, 36]",The Ship Who Sang
und,[],The Ship Who Sang
used,"[0, 0, 6, 1, 0, 0, 0, 66, 0, 0, 43, 0, 1, 7, 1]",The Ship Who Sang
production,"[6, 8, 1, 11]",The Ship Who Sang
Of,[],The Ship Who Sang
department,"[4, 12]",The Ship Who Sang
diagram,"[7, 1]",The Ship Who Sang
would,[],The Ship Who Sang
showing,"[1, 0, 0, 15, 1, 1, 1, 14, 0, 7, 0, 0, 0, 7, 19, 8, 37, 0, 1, 2, 3, 44, 20, 1, 6, 21, 3, 36]",The Ship Who Sang
singers,"[0, 0, 0, 0, 0, 0, 0, 0]",The Ship Who Sang
investigation,"[3, 1, 2]",The Ship Who Sang
augmented,"[0, 4]",The Ship Who Sang
kicking,"[3, 0, 2, 0, 0, 0, 7, 0, 0, 1, 2]",The Ship Who Sang
Vocal,"[0, 3, 2, 0]",The Ship Who Sang
meant,"[0, 2, 65, 1, 0, 0, 0, 2, 37]",The Ship Who Sang
course,"[0, 4, 24, 43, 39, 6, 74, 0, 0, 2, 4, 0, 9, 2, 4, 12, 12]",The Ship Who Sang
regulated,"[34, 0, 13, 2, 0, 12, 1, 1, 0, 0, 3, 1]",The Ship Who Sang
rogue,"[0, 0, 0, 1, 0, 0, 0]",The Ship Who Sang
ready,"[4, 0, 113, 21, 0, 0, 46, 9, 1]",The Ship Who Sang
crowded,"[4, 2, 2, 8, 0]",The Ship Who Sang
spent,"[0, 0, 0, 0, 0, 5, 0, 9, 4, 0, 12, 12, 0]",The Ship Who Sang
overridden,"[0, 0, 0, 0, 4]",The Ship Who Sang
unaware,"[0, 3]",The Ship Who Sang
places,"[51, 0, 4, 21, 72, 43, 3, 14, 10, 19, 17, 29, 0, 0, 46, 0, 7, 34, 16, 1, 12, 37, 1, 1, 7, 0, 4, 3, 16, 0, 12, 0, 0, 0, 54, 6, 43, 10, 2, 0, 0, 2, 1]",The Ship Who Sang
early,"[10, 0, 0, 0, 183, 41, 0]",The Ship Who Sang
history,"[31, 0, 13, 40]",The Ship Who Sang
relief,"[0, 0, 16, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 3, 4, 0, 0, 0, 0, 0, 0]",The Ship Who Sang
magnifying,"[0, 1, 0, 0, 0, 0, 0, 0, 0]",The Ship Who Sang
appreciatively,"[2, 0]",The Ship Who Sang
recognized,"[0, 0, 0, 0, 11, 0, 0, 0, 129, 2, 2, 0, 0, 0, 8, 6, 11, 5, 0]",The Ship Who Sang
truth,"[0, 1, 0, 0, 0, 4, 0, 12]",The Ship Who Sang
vibrancy,"[1, 0, 1, 0, 0, 0, 0]",The Ship Who Sang
filed,"[2, 0, 1, 8, 0]",The Ship Who Sang
of,[],The Ship Who Sang
scouts,"[0, 12, 0, 0, 0, 4, 1, 5, 0, 1, 0, 0, 0, 0]",The Ship Who Sang
necessity,"[0, 3, 18, 13, 4]",The Ship Who Sang
attempted,"[3, 12, 22, 0, 1, 0, 3, 7]",The Ship Who Sang
matured,"[0, 0, 12, 0, 0, 1, 0, 33, 2, 0]",The Ship Who Sang
very,"[81, 0, 5, 40, 1, 33]",The Ship Who Sang
fascinating,"[0, 0, 0, 1, 0, 0, 4, 0, 2, 0, 0, 0, 4, 0, 5, 0, 0, 6, 0, 2, 0, 2, 2, 2, 0, 0, 0]",The Ship Who Sang
profession,"[0, 5]",The Ship Who Sang
They,[],The Ship Who Sang
transferral,"[1, 1, 3, 0, 0]",The Ship Who Sang
;,[],The Ship Who Sang
power,"[0, 0, 0, 14, 10, 0, 0, 0, 0, 0, 6, 0, 0, 0, 12, 16, 81, 58, 0, 0, 0]",The Ship Who Sang
mature,"[0, 0, 12, 0, 0, 1, 33, 0, 2, 2, 0]",The Ship Who Sang
day,"[7, 1, 0, 0, 0, 56, 0, 0, 0, 0, 1, 0]",The Ship Who Sang
learn,"[0, 4, 102, 15, 0, 1, 0, 12, 3, 0, 0, 1, 6, 0, 3, 24, 0, 80, 0, 21, 0, 4, 0]",The Ship Who Sang
shelled,"[2, 23, 0, 6, 0, 0, 1, 0, 0]",The Ship Who Sang
reaction,"[8, 28, 0]",The Ship Who Sang
retorted,"[0, 13, 0, 0, 0, 0]",The Ship Who Sang
far,"[0, 0, 0, 0, 57, 0]",The Ship Who Sang
dummy,"[1, 0, 2, 0, 0, 0, 0, 1, 0, 0]",The Ship Who Sang
regret,"[0, 0, 0, 2, 0]",The Ship Who Sang
games,"[162, 0, 0, 2, 7, 0, 13, 0, 0]",The Ship Who Sang
official,"[6, 0, 0]",The Ship Who Sang
small,"[0, 3, 0, 4, 4, 4, 0, 1, 20, 0, 67, 0, 99]",The Ship Who Sang
grateful,"[0, 6]",The Ship Who Sang
amusement,"[3, 3]",The Ship Who Sang
currently,"[4, 3]",The Ship Who Sang
compounded,"[1, 3, 0, 0, 1, 0]",The Ship Who Sang
destined,"[1, 8, 1, 0, 7, 1, 2, 0]",The Ship Who Sang
determined,"[0, 9, 102, 4, 12, 6, 2, 0, 55, 1, 46, 0, 0, 8, 1, 1, 6, 1, 0, 13, 0, 12, 0, 4, 0, 3]",The Ship Who Sang
time,"[0, 188, 0, 0, 1, 0, 3, 1, 0]",The Ship Who Sang
partners,"[0, 0, 0, 0, 8, 0, 0, 0]",The Ship Who Sang
If,[],The Ship Who Sang
human,"[173, 0, 0, 49]",The Ship Who Sang
Would,[],The Ship Who Sang
base,"[0, 3, 0, 0, 1, 0, 0, 4, 0, 0, 0, 0, 37, 0, 11, 0, 0, 3, 1, 59, 0, 0, 21, 0, 1, 0, 26, 7, 3, 54, 0, 19, 23, 0, 0, 0, 2, 8, 0, 0]",The Ship Who Sang
appeared,"[0, 3, 59, 26, 0]",The Ship Who Sang
sustained,"[2, 2, 3, 1, 0, 0, 492, 5, 13, 0, 123, 0, 0, 0, 0, 35, 0, 0, 17]",The Ship Who Sang
(,[],The Ship Who Sang
thoughtful,"[1, 0, 0, 3, 0]",The Ship Who Sang
lonely,"[1, 10, 0, 17, 0, 3]",The Ship Who Sang
own,"[4, 111, 0, 492]",The Ship Who Sang
absentmindedly,"[0, 0, 1, 0]",The Ship Who Sang
unshelled,"[1, 0]",The Ship Who Sang
histories,"[31, 0, 13, 40]",The Ship Who Sang
proceedings,"[0, 1, 2, 1, 13, 19, 35, 0, 19, 90, 0, 0, 0, 0]",The Ship Who Sang
where,[],The Ship Who Sang
Most,"[0, 3, 237, 104, 18, 0, 66, 23, 0]",The Ship Who Sang
vision,"[0, 18, 15, 12, 0, 0, 0]",The Ship Who Sang
set,"[51, 0, 9, 72, 6, 2, 0, 0, 0, 2, 12, 8, 0, 19, 0, 0, 0, 0, 0, 29, 4, 2, 21, 0, 19, 0, 46, 0, 0, 10, 0, 163, 0, 7, 1, 6, 0, 1, 8, 10, 0, 1, 0, 2, 1, 0, 0, 0, 0, 0, 13, 1, 0, 0, 7, 0, 0, 0, 0, 0, 0]",The Ship Who Sang
mind,"[0, 0, 1, 0, 31, 0, 0, 5, 0, 73, 50, 0, 4, 14, 0, 0]",The Ship Who Sang
people,"[4, 0, 0, 102, 0, 0, 2]",The Ship Who Sang
parts,"[0, 5, 4, 12, 0, 4, 0, 11, 6, 12, 0, 1, 0, 0, 0, 0, 1, 12, 0, 0, 7, 13, 16, 0, 5, 0, 0, 30, 9, 1, 47, 3, 19, 17, 3]",The Ship Who Sang
turning,"[4, 0, 0, 12, 0, 0, 0, 0, 127, 0, 0, 12, 0, 7, 0, 0, 33, 0, 3, 37, 1, 0, 4, 0]",The Ship Who Sang
original,"[14, 0, 0, 4, 9]",The Ship Who Sang
technical,"[0, 11, 3, 1, 0]",The Ship Who Sang
that,[],The Ship Who Sang
partnered,[8],The Ship Who Sang
young,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 92, 0, 0, 38, 3, 0, 0, 0]",The Ship Who Sang
Supper,[2],The Ship Who Sang
be,"[1, 4, 12, 0, 21, 3, 0, 6, 0, 722, 26, 6, 11, 0, 0, 0]",The Ship Who Sang
bent,"[0, 0, 0, 0, 0, 0, 0, 0, 46, 0, 0, 0, 3, 0, 0, 2, 1, 3, 0, 37, 0, 0]",The Ship Who Sang
twittered,"[0, 0]",The Ship Who Sang
but,"[25, 11, 211, 115, 409]",The Ship Who Sang
There,"[276, 0, 0, 0, 0, 0]",The Ship Who Sang
extendibles,[],The Ship Who Sang
replied,"[25, 1, 3]",The Ship Who Sang
However,"[103, 1, 3, 47, 35, 0, 0, 0, 6]",The Ship Who Sang
observe,"[1, 13, 0, 12, 0, 5, 8, 55, 3, 0, 0, 9, 3, 0, 4, 35, 9, 0, 11, 0]",The Ship Who Sang
rhythmic,"[1, 0]",The Ship Who Sang
during,[],The Ship Who Sang
usual,"[20, 8]",The Ship Who Sang
what,[],The Ship Who Sang
associations,"[0, 5, 3, 0, 1, 2]",The Ship Who Sang
lady,"[0, 12, 0, 1, 1, 8, 0, 0]",The Ship Who Sang
monitor,"[0, 1, 0, 0, 1, 0, 0, 0, 0]",The Ship Who Sang
require,"[5, 15, 0, 80, 51, 2, 0, 6, 22, 14, 0, 54]",The Ship Who Sang
further,"[5, 0, 1, 2, 2, 18, 57, 3]",The Ship Who Sang
technicians,[0],The Ship Who Sang
crabbed,"[0, 0, 0, 0, 0, 0, 2, 0, 0, 6, 0, 1, 0, 0, 0, 0]",The Ship Who Sang
comment,"[0, 0, 0, 3, 0, 0, 8, 9, 0, 0]",The Ship Who Sang
three,"[0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 56, 0, 0]",The Ship Who Sang
not,"[0, 602]",The Ship Who Sang
bugged,"[0, 1, 0, 3, 0, 1, 0, 0, 0]",The Ship Who Sang
tests,"[18, 0, 0, 43, 0, 22, 8, 3, 0, 10, 3, 0, 2, 2, 0, 0, 0]",The Ship Who Sang
open,"[26, 2, 12, 0, 0, 7, 18, 0, 4, 0, 0, 3, 0, 0, 0, 0, 0, 0, 11, 0, 10, 0, 0, 51, 0, 0, 25, 38]",The Ship Who Sang
amended,"[0, 1, 3, 4, 8, 0, 57, 0, 0, 0]",The Ship Who Sang
large,"[30, 0, 61, 0, 53, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0]",The Ship Who Sang
connection,"[0, 5, 3, 0, 0, 0, 3, 1, 0]",The Ship Who Sang
transfers,"[0, 0, 0, 0, 0, 2, 0, 0, 3, 0, 0, 0, 2, 7, 1, 1, 34, 0, 0]",The Ship Who Sang
wisecracked,[0],The Ship Who Sang
trained,"[3, 0, 17, 6, 3, 0, 1, 69, 0, 1, 12, 0, 16, 5, 7, 6, 0, 2, 80, 0]",The Ship Who Sang
cry,"[0, 0, 0, 4, 2, 5, 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 2, 0, 1]",The Ship Who Sang
traffic,"[6, 0]",The Ship Who Sang
or,"[0, 0, 1, 1, 0, 0, 0]",The Ship Who Sang
essentially,"[5, 2, 1]",The Ship Who Sang
available,"[18, 0, 0, 0]",The Ship Who Sang
invitation,[3],The Ship Who Sang
good,"[9, 0, 0, 1, 0, 0, 1, 134, 7, 1, 0, 1, 0, 8, 4, 24, 3, 0, 5, 5, 0, 7, 82, 23, 2, 0, 0, 8, 8, 84, 115, 25, 2, 0, 3, 0, 0]",The Ship Who Sang
care,"[0, 21, 20, 0, 1, 1, 5, 0, 8, 0, 8, 17, 176, 10, 0, 2, 3, 17, 7, 10, 1]",The Ship Who Sang
frontal,"[1, 0, 0, 0, 0]",The Ship Who Sang
cavity,"[3, 0, 0, 0, 0, 0, 0, 0]",The Ship Who Sang
aimless,"[0, 0, 0, 1, 1, 1, 0, 0, 3, 0, 0]",The Ship Who Sang
seen,"[0, 49, 0, 0, 59, 0, 22, 102, 0, 15, 19, 0, 0, 5, 0, 0, 17, 12, 13, 0, 0, 2, 0, 55, 4, 3, 0, 8, 0, 0, 7, 0, 0, 0, 17, 4, 1, 6, 1, 20, 11, 10, 4, 3, 7, 0, 1, 6, 8, 38, 4, 2, 0, 0, 0]",The Ship Who Sang
busy,"[0, 3, 0, 0, 4, 0, 0, 1, 0, 0]",The Ship Who Sang
unmagnified,[],The Ship Who Sang
contrite,"[0, 1, 1, 0]",The Ship Who Sang
mezzo,"[1, 0]",The Ship Who Sang
person,"[28, 4, 7, 19, 4, 14]",The Ship Who Sang
other,"[41, 10, 183]",The Ship Who Sang
arrival,"[0, 1, 0, 4]",The Ship Who Sang
sneaked,"[2, 2, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1]",The Ship Who Sang
back,"[0, 0, 1, 0, 0, 0, 0, 0, 13, 40, 2, 0, 13, 5, 0, 162, 0, 0, 0, 1, 0, 8, 0, 0, 0, 0, 3, 0, 0, 0]",The Ship Who Sang
pilots',[],The Ship Who Sang
occurred,"[0, 14, 0, 0, 3, 84, 0, 12, 0, 0]",The Ship Who Sang
practice,"[6, 0, 0, 8, 66, 1, 7, 0, 0, 163, 0, 0, 5]",The Ship Who Sang
